,er,AV,Accuracy
586,h2o.glm,Avast,0.853073463268366
587,h2o.glm,Avira,0.85119940029985
588,h2o.glm,Baidu,0.875937031484258
589,h2o.glm,BitDefender,0.876686656671664
590,h2o.glm,Bkav,0.8399550224887555
591,h2o.glm,CATQHeal,0.8354572713643175
592,h2o.glm,CMC,0.867316341829085
593,h2o.glm,ClamAV,0.8631934032983505
594,h2o.glm,Comodo,0.852698650674663
595,h2o.glm,CrowdStrike,0.848950524737631
596,h2o.glm,Cyren,0.8598200899550226
597,h2o.glm,DrWeb,0.849325337331334
598,h2o.glm,ENOD32,0.8369565217391305
599,h2o.glm,Emsisoft,0.8373313343328335
600,h2o.glm,Endgame,0.8392053973013495
601,h2o.glm,F-Prot,0.8631934032983505
602,h2o.glm,F-Secure,0.8631934032983505
603,h2o.glm,Fortinet,0.84407796101949
604,h2o.glm,GData,0.8362068965517245
605,h2o.glm,Invincea,0.835457271364318
606,h2o.glm,Jiangmin,0.881184407796102
607,h2o.glm,K7AntiVirus,0.845577211394303
608,h2o.glm,K7GW,0.8444527736131935
609,h2o.glm,Kaspersky,0.8373313343328335
610,h2o.glm,Kingsoft,0.7964767616191906
611,h2o.glm,MAX,0.842578710644678
612,h2o.glm,McAfee,0.8444527736131935
613,h2o.glm,McAfee-GW,0.8459520239880061
614,h2o.glm,MicroWorld,0.8718140929535235
615,h2o.glm,Microsoft,0.8373313343328335
616,h2o.glm,NANO,0.8298350824587705
617,h2o.glm,Paloalto,0.8485757121439279
618,h2o.glm,Panda,0.85119940029985
619,h2o.glm,Qihoo-360,0.847826086956522
620,h2o.glm,Rising,0.8601949025487254
621,h2o.glm,SASpyware,0.8437031484257875
622,h2o.glm,SentinelOne,0.8407046476761615
623,h2o.glm,Sophos,0.848200899550225
624,h2o.glm,Symantec,0.841829085457271
625,h2o.glm,Tencent,0.863943028485757
626,h2o.glm,TheHacker,0.8654422788605695
627,h2o.glm,TotalDefense,0.836206896551724
628,h2o.glm,TrendMicro,0.8504497751124435
629,h2o.glm,TMHouseC,0.848950524737631
630,h2o.glm,VBA32,0.8515742128935535
631,h2o.glm,VIPRE,0.839205397301349
632,h2o.glm,ViRobot,0.789730134932534
633,h2o.glm,Webroot,0.853448275862069
634,h2o.glm,Yandex,0.8601949025487254
635,h2o.glm,ZoneAlarm,0.835457271364318
636,h2o.glm,Zoner,0.871064467766117
637,h2o.glm,eGambit,0.907421289355322
638,h2o.rForest,ALYac,0.9434032983508245
639,h2o.rForest,AVG,0.92503748125937
640,h2o.rForest,AVware,0.919415292353823
641,h2o.rForest,Ad-Aware,0.941904047976012
642,h2o.rForest,AhnLab-V3,0.9381559220389806
643,h2o.rForest,Arcabit,0.9306596701649175
644,h2o.rForest,Avast,0.9246626686656669
645,h2o.rForest,Avira,0.929160419790105
646,h2o.rForest,Baidu,0.928785607196402
647,h2o.rForest,BitDefender,0.934032983508246
648,h2o.rForest,Bkav,0.936656671664168
649,h2o.rForest,CATQHeal,0.9284107946026989
650,h2o.rForest,CMC,0.901799100449775
651,h2o.rForest,ClamAV,0.931784107946027
652,h2o.rForest,Comodo,0.931784107946027
653,h2o.rForest,CrowdStrike,0.930284857571214
654,h2o.rForest,Cyren,0.936656671664168
655,h2o.rForest,DrWeb,0.931409295352324
656,h2o.rForest,ENOD32,0.9224137931034485
657,h2o.rForest,Emsisoft,0.9254122938530736
